codigo_depto;nombre_depto;cod_mun;nombre_mun;grupo_cultivo;sub_grupo_cultivo;cultivo;sistema_productivo;anio;periodo;area_sembrada;area_cosechada;produccion;rendimiento;estado_fisico_produccion;nombre_cientifico;ciclo_cultivo
25;CUNDINAMARCA;25214;COTA;HORTALIZAS;ACELGA;ACELGA;ACELGA;2018;2018A;15;15;300;20;FRUTO FRESCO;BETA VULGARIS;TRANSITORIO
25;CUNDINAMARCA;25754;SOACHA;HORTALIZAS;ACELGA;ACELGA;ACELGA;2018;2018A;12;12;132;11;FRUTO FRESCO;BETA VULGARIS;TRANSITORIO
25;CUNDINAMARCA;25175;CHIA;HORTALIZAS;ACELGA;ACELGA;ACELGA;2018;2018A;5;5;125;25;FRUTO FRESCO;BETA VULGARIS;TRANSITORIO
25;CUNDINAMARCA;25126;CAJICA;HORTALIZAS;ACELGA;ACELGA;ACELGA;2018;2018A;4;4;72;18;FRUTO FRESCO;BETA VULGARIS;TRANSITORIO
25;CUNDINAMARCA;25799;TENJO;HORTALIZAS;ACELGA;ACELGA;ACELGA;2018;2018A;1;1;18;18;FRUTO FRESCO;BETA VULGARIS;TRANSITORIO
25;CUNDINAMARCA;25312;GRANADA;FRUTALES;FRUTALES EXOTICOS;AGRAZ;AGRAZ;2018;2018;2;0;0;;FRUTO FRESCO;VACCINIUM MERIDIONALE;PERMANENTE
25;CUNDINAMARCA;25843;UBATE;FRUTALES;FRUTALES EXOTICOS;AGRAZ;AGRAZ;2018;2018;2;0;0;;FRUTO FRESCO;VACCINIUM MERIDIONALE;PERMANENTE
25;CUNDINAMARCA;25649;SAN BERNARDO;FRUTALES;FRUTALES EXOTICOS;AGRAZ;AGRAZ;2018;2018;1;1;2;4;FRUTO FRESCO;VACCINIUM MERIDIONALE;PERMANENTE
25;CUNDINAMARCA;25148;CAPARRAPI;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;689;393;1769;4.5;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25320;GUADUAS;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;217;142;284;2;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25878;VIOTA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;154;104;981;9.43;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25885;YACOPI;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;115;79;632;8;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25743;SILVANIA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;93;73;1460;20;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25649;SAN BERNARDO;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;85;14;119;8.5;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
25;CUNDINAMARCA;25506;VENECIA;FRUTALES;AGUACATE;AGUACATE;AGUACATE;2018;2018;69;38;760;20;FRUTO FRESCO;PERSEA AMERICANA MILL.;PERMANENTE
